"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2010-07","EU_EEA31","EU/EEA",8.217405000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2010-07","EU28","EU",8.204184000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2010-07","UK","United Kingdom",13.855339470,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2010-08","EU_EEA31","EU/EEA",7.081140000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2010-08","EU28","EU",7.014181000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2010-08","UK","United Kingdom",10.414300880,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2010-09","EU_EEA31","EU/EEA",6.524561000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2010-09","EU28","EU",6.525587000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2010-09","UK","United Kingdom",10.468692010,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2010-10","EU_EEA31","EU/EEA",5.269516000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2010-10","EU28","EU",5.278872000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2010-10","UK","United Kingdom",9.732812070,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2010-11","EU_EEA31","EU/EEA",5.052373000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2010-11","EU28","EU",5.073307000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2010-11","UK","United Kingdom",9.951976310,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2010-12","EU_EEA31","EU/EEA",3.807841000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2010-12","EU28","EU",3.836424000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2010-12","UK","United Kingdom",6.528534850,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011","EU_EEA31","EU/EEA",65.632992000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011","EU28","EU",65.719214000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011","UK","United Kingdom",114.465410560,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-01","EU_EEA31","EU/EEA",3.595689000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-01","EU28","EU",3.619684000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-01","UK","United Kingdom",6.588119940,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-02","EU_EEA31","EU/EEA",3.301760000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-02","EU28","EU",3.324811000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-02","UK","United Kingdom",7.289456410,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-03","EU_EEA31","EU/EEA",3.858485000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-03","EU28","EU",3.876304000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-03","UK","United Kingdom",7.762303170,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-04","EU_EEA31","EU/EEA",3.654184000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-04","EU28","EU",3.662917000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-04","UK","United Kingdom",7.067313630,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-05","EU_EEA31","EU/EEA",5.391764000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-05","EU28","EU",5.413007000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-05","UK","United Kingdom",10.267756300,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-06","EU_EEA31","EU/EEA",8.540073000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-06","EU28","EU",8.538515000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-06","UK","United Kingdom",13.061995030,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-07","EU_EEA31","EU/EEA",7.913647000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-07","EU28","EU",7.867967000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-07","UK","United Kingdom",11.886225070,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-08","EU_EEA31","EU/EEA",7.970372000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-08","EU28","EU",7.935242000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-08","UK","United Kingdom",12.186117810,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-09","EU_EEA31","EU/EEA",7.130587000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-09","EU28","EU",7.147411000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-09","UK","United Kingdom",11.373709960,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-10","EU_EEA31","EU/EEA",5.480929000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-10","EU28","EU",5.494301000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-10","UK","United Kingdom",10.591450050,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-11","EU_EEA31","EU/EEA",4.747265000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-11","EU28","EU",4.768851000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-11","UK","United Kingdom",9.187190380,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-12","EU_EEA31","EU/EEA",4.028241000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-12","EU28","EU",4.049919000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2011-12","UK","United Kingdom",7.203772770,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012","EU_EEA31","EU/EEA",61.711348000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012","EU28","EU",61.788324000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012","UK","United Kingdom",114.181674190,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-01","EU_EEA31","EU/EEA",4.044316000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-01","EU28","EU",4.064738000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-01","UK","United Kingdom",7.061939680,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-02","EU_EEA31","EU/EEA",3.145230000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-02","EU28","EU",3.159436000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-02","UK","United Kingdom",6.973744180,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-03","EU_EEA31","EU/EEA",3.603775000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-03","EU28","EU",3.621904000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-03","UK","United Kingdom",6.820976970,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-04","EU_EEA31","EU/EEA",3.603837000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-04","EU28","EU",3.626076000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-04","UK","United Kingdom",7.227306240,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-05","EU_EEA31","EU/EEA",5.293217000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-05","EU28","EU",5.323844000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-05","UK","United Kingdom",11.287449080,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-06","EU_EEA31","EU/EEA",6.834041000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-06","EU28","EU",6.857752000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-06","UK","United Kingdom",13.120655550,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-07","EU_EEA31","EU/EEA",7.495901000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-07","EU28","EU",7.445149000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-07","UK","United Kingdom",13.641953950,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-08","EU_EEA31","EU/EEA",8.083545000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-08","EU28","EU",8.051739000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-08","UK","United Kingdom",12.306422090,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-09","EU_EEA31","EU/EEA",5.956323000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-09","EU28","EU",5.966185000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-09","UK","United Kingdom",10.922067730,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-10","EU_EEA31","EU/EEA",5.622206000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-10","EU28","EU",5.597635000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-10","UK","United Kingdom",10.901593770,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-11","EU_EEA31","EU/EEA",4.954365000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-11","EU28","EU",4.973770000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-11","UK","United Kingdom",8.345499190,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-12","EU_EEA31","EU/EEA",3.048401000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-12","EU28","EU",3.073524000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2012-12","UK","United Kingdom",5.572065700,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013","EU_EEA31","EU/EEA",60.814210000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013","EU28","EU",60.780240000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013","UK","United Kingdom",103.875583270,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-01","EU_EEA31","EU/EEA",3.809626000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-01","EU28","EU",3.841773000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-01","UK","United Kingdom",6.476771400,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-02","EU_EEA31","EU/EEA",3.017295000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-02","EU28","EU",3.038633000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-02","UK","United Kingdom",6.603521450,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-03","EU_EEA31","EU/EEA",3.108217000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-03","EU28","EU",3.122422000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-03","UK","United Kingdom",6.296817610,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-04","EU_EEA31","EU/EEA",3.343856000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-04","EU28","EU",3.344858000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-04","UK","United Kingdom",6.237354620,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-05","EU_EEA31","EU/EEA",4.696357000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-05","EU28","EU",4.694265000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-05","UK","United Kingdom",8.482864880,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-06","EU_EEA31","EU/EEA",6.286070000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-06","EU28","EU",6.290921000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-06","UK","United Kingdom",11.376208760,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-07","EU_EEA31","EU/EEA",7.873257000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-07","EU28","EU",7.804439000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-07","UK","United Kingdom",13.786024650,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-08","EU_EEA31","EU/EEA",7.640393000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-08","EU28","EU",7.586457000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-08","UK","United Kingdom",10.199467500,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-09","EU_EEA31","EU/EEA",6.357797000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-09","EU28","EU",6.366705000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-09","UK","United Kingdom",9.822346960,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-10","EU_EEA31","EU/EEA",6.078923000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-10","EU28","EU",6.045226000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-10","UK","United Kingdom",10.337171260,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-11","EU_EEA31","EU/EEA",4.939201000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-11","EU28","EU",4.960066000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-11","UK","United Kingdom",8.038457280,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-12","EU_EEA31","EU/EEA",3.629832000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-12","EU28","EU",3.650600000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2013-12","UK","United Kingdom",6.218576840,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014","EU_EEA31","EU/EEA",66.338170000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014","EU28","EU",66.359025000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014","UK","United Kingdom",103.674906840,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-01","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-01","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-01","UK","United Kingdom",7.230639450,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-02","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-02","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-02","UK","United Kingdom",6.811066560,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-03","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-03","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-03","UK","United Kingdom",6.738029790,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-04","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-04","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-04","UK","United Kingdom",6.396155590,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-05","EU_EEA31","EU/EEA",5.738153000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-05","EU28","EU",5.749262000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-05","UK","United Kingdom",9.533628410,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-06","EU_EEA31","EU/EEA",7.427130000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-06","EU28","EU",7.440901000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-06","UK","United Kingdom",13.134185390,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-07","EU_EEA31","EU/EEA",8.473477000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-07","EU28","EU",8.380721000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-07","UK","United Kingdom",12.259298220,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-08","EU_EEA31","EU/EEA",7.269100000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-08","EU28","EU",7.223884000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-08","UK","United Kingdom",10.013806270,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-09","EU_EEA31","EU/EEA",6.606775000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-09","EU28","EU",6.605955000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-09","UK","United Kingdom",9.780710220,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-10","EU_EEA31","EU/EEA",5.998063000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-10","EU28","EU",6.001852000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-10","UK","United Kingdom",8.279571670,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-11","EU_EEA31","EU/EEA",4.855907000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-11","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-11","UK","United Kingdom",7.171588450,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-12","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-12","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2014-12","UK","United Kingdom",6.326226770,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015","EU_EEA31","EU/EEA",62.665576000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015","EU28","EU",62.923453000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015","UK","United Kingdom",92.172405260,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-01","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-01","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-01","UK","United Kingdom",6.569540130,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-02","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-02","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-02","UK","United Kingdom",6.635821270,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-03","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-03","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-03","UK","United Kingdom",6.384569500,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-04","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-04","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-04","UK","United Kingdom",6.700560990,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-05","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-05","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-05","UK","United Kingdom",7.099789260,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-06","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-06","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-06","UK","United Kingdom",10.583402750,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-07","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-07","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-07","UK","United Kingdom",9.851227350,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-08","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-08","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-08","UK","United Kingdom",9.314812530,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-09","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-09","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-09","UK","United Kingdom",8.339092470,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-10","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-10","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-10","UK","United Kingdom",7.765683520,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-11","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-11","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-11","UK","United Kingdom",6.939481380,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-12","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-12","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2015-12","UK","United Kingdom",5.988424070,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016","EU_EEA31","EU/EEA",66.010878000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016","EU28","EU",66.320304000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016","UK","United Kingdom",90.102014360,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-01","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-01","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-01","UK","United Kingdom",6.099486220,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-02","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-02","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-02","UK","United Kingdom",5.616176880,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-03","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-03","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-03","UK","United Kingdom",5.149691600,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-04","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-04","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-04","UK","United Kingdom",5.331697340,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-05","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-05","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-05","UK","United Kingdom",7.430116370,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-06","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-06","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-06","UK","United Kingdom",11.394476530,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-07","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-07","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-07","UK","United Kingdom",10.987640180,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-08","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-08","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-08","UK","United Kingdom",10.505860300,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-09","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-09","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-09","UK","United Kingdom",8.283555020,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-10","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-10","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-10","UK","United Kingdom",7.413292310,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-11","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-11","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-11","UK","United Kingdom",6.515499330,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-12","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-12","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2016-12","UK","United Kingdom",5.374522210,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2017","EU_EEA31","EU/EEA",64.930317000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2017","EU28","EU",64.836559000,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2017","UK","United Kingdom",96.194153910,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2017-01","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2017-01","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2017-01","UK","United Kingdom",5.547909380,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2017-02","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2017-02","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2017-02","UK","United Kingdom",5.312377760,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2017-03","EU_EEA31","EU/EEA",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2017-03","EU28","EU",-,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2017-03","UK","United Kingdom",6.236269550,""
"Campylobacteriosis","Confirmed cases","Notification rate","N/100000","2017-04","EU_EEA31","EU/EEA",-,""
